timp(ms),P(KW),,,
49291,0.3939744,01/07/2024,11:30:33,AM
49302,0.3939744,01/07/2024,11:30:33,AM
49313,0.3939744,01/07/2024,11:30:33,AM
49324,0.3939744,01/07/2024,11:30:33,AM
49335,0.3939744,01/07/2024,11:30:33,AM
49350,0.3939744,01/07/2024,11:30:33,AM
49360,0.3939744,01/07/2024,11:30:33,AM
49371,0.3939744,01/07/2024,11:30:33,AM
49382,0.3939744,01/07/2024,11:30:33,AM
49393,0.3939744,01/07/2024,11:30:33,AM
49404,0.3939744,01/07/2024,11:30:33,AM
49415,0.3939744,01/07/2024,11:30:33,AM
49430,0.3939744,01/07/2024,11:30:33,AM
49440,0.3939744,01/07/2024,11:30:33,AM
49451,0.3939744,01/07/2024,11:30:33,AM
49462,0.3939744,01/07/2024,11:30:33,AM
49473,0.3939744,01/07/2024,11:30:33,AM
49484,0.3939744,01/07/2024,11:30:33,AM
49495,0.3939744,01/07/2024,11:30:33,AM
49510,0.3939744,01/07/2024,11:30:33,AM
49520,0.3939744,01/07/2024,11:30:33,AM
49531,0.3939744,01/07/2024,11:30:33,AM
49542,0.3939744,01/07/2024,11:30:33,AM
49553,0.3939744,01/07/2024,11:30:33,AM
49564,0.3939744,01/07/2024,11:30:33,AM
49575,0.3939744,01/07/2024,11:30:33,AM
49590,0.3939744,01/07/2024,11:30:33,AM
49600,0.3939744,01/07/2024,11:30:33,AM
49611,0.3939744,01/07/2024,11:30:33,AM
49622,0.3939744,01/07/2024,11:30:33,AM
49633,0.3939744,01/07/2024,11:30:33,AM
49644,0.3939744,01/07/2024,11:30:33,AM
49655,0.3939744,01/07/2024,11:30:33,AM
49670,0.3939744,01/07/2024,11:30:33,AM
49680,0.3939744,01/07/2024,11:30:33,AM
49691,0.3939744,01/07/2024,11:30:34,AM
49702,0.3939744,01/07/2024,11:30:34,AM
49713,0.3939744,01/07/2024,11:30:34,AM
49724,0.3939744,01/07/2024,11:30:34,AM
49736,0.3939744,01/07/2024,11:30:34,AM
49750,0.3939744,01/07/2024,11:30:34,AM
49760,0.3939744,01/07/2024,11:30:34,AM
49771,0.3939744,01/07/2024,11:30:34,AM
49782,0.3939744,01/07/2024,11:30:34,AM
49793,0.3939744,01/07/2024,11:30:34,AM
49804,0.3939744,01/07/2024,11:30:34,AM
49815,0.3939744,01/07/2024,11:30:34,AM
49830,0.3939744,01/07/2024,11:30:34,AM
49840,0.3939744,01/07/2024,11:30:34,AM
49852,0.3939744,01/07/2024,11:30:34,AM
49862,0.3939744,01/07/2024,11:30:34,AM
49873,0.3939744,01/07/2024,11:30:34,AM
49884,0.3939744,01/07/2024,11:30:34,AM
49895,0.3939744,01/07/2024,11:30:34,AM
49910,0.3939744,01/07/2024,11:30:34,AM
49920,0.3939744,01/07/2024,11:30:34,AM
49931,0.3939744,01/07/2024,11:30:34,AM
49942,0.3939744,01/07/2024,11:30:34,AM
49953,0.3939744,01/07/2024,11:30:34,AM
49964,0.3939744,01/07/2024,11:30:34,AM
49975,0.3939744,01/07/2024,11:30:34,AM
49990,0.3939744,01/07/2024,11:30:34,AM
50000,0.3939744,01/07/2024,11:30:34,AM
50011,0.3939744,01/07/2024,11:30:34,AM
50022,0.3939744,01/07/2024,11:30:34,AM
50033,0.3939744,01/07/2024,11:30:34,AM
50044,0.3939744,01/07/2024,11:30:34,AM
50055,0.3939744,01/07/2024,11:30:34,AM
50070,0.3939744,01/07/2024,11:30:34,AM
50080,0.3939744,01/07/2024,11:30:34,AM
50091,0.3939744,01/07/2024,11:30:34,AM
50102,0.3939744,01/07/2024,11:30:34,AM
50113,0.3939744,01/07/2024,11:30:34,AM
50124,0.3939744,01/07/2024,11:30:34,AM
50135,0.3939744,01/07/2024,11:30:34,AM
50192,0.3939744,01/07/2024,11:30:34,AM
50202,0.3939744,01/07/2024,11:30:34,AM
50213,0.3939744,01/07/2024,11:30:34,AM
50224,0.3939744,01/07/2024,11:30:34,AM
50235,0.3914748,01/07/2024,11:30:34,AM
50250,0.3914748,01/07/2024,11:30:34,AM
50261,0.3914748,01/07/2024,11:30:34,AM
50271,0.3914748,01/07/2024,11:30:34,AM
50282,0.3914748,01/07/2024,11:30:34,AM
50293,0.3914748,01/07/2024,11:30:34,AM
50304,0.3914748,01/07/2024,11:30:34,AM
50315,0.3914748,01/07/2024,11:30:34,AM
50330,0.3914748,01/07/2024,11:30:34,AM
50340,0.3914748,01/07/2024,11:30:34,AM
50351,0.3914748,01/07/2024,11:30:34,AM
50362,0.3914748,01/07/2024,11:30:34,AM
50373,0.3914748,01/07/2024,11:30:34,AM
50384,0.3914748,01/07/2024,11:30:34,AM
50395,0.3914748,01/07/2024,11:30:34,AM
50410,0.3914748,01/07/2024,11:30:34,AM
50420,0.3914748,01/07/2024,11:30:34,AM
50431,0.3914748,01/07/2024,11:30:34,AM
50442,0.3914748,01/07/2024,11:30:34,AM
50453,0.3914748,01/07/2024,11:30:34,AM
50464,0.3914748,01/07/2024,11:30:34,AM
50475,0.3914748,01/07/2024,11:30:34,AM
50490,0.3914748,01/07/2024,11:30:34,AM
50500,0.3914748,01/07/2024,11:30:34,AM
50511,0.3914748,01/07/2024,11:30:34,AM
50522,0.3914748,01/07/2024,11:30:34,AM
50533,0.3914748,01/07/2024,11:30:34,AM
50544,0.3914748,01/07/2024,11:30:34,AM
50555,0.3914748,01/07/2024,11:30:34,AM
50570,0.3914748,01/07/2024,11:30:34,AM
50581,0.3914748,01/07/2024,11:30:34,AM
50591,0.3914748,01/07/2024,11:30:34,AM
50602,0.3914748,01/07/2024,11:30:34,AM
50613,0.3914748,01/07/2024,11:30:34,AM
50624,0.3914748,01/07/2024,11:30:34,AM
50635,0.3914748,01/07/2024,11:30:34,AM
50650,0.3914748,01/07/2024,11:30:34,AM
50660,0.3914748,01/07/2024,11:30:34,AM
50671,0.3914748,01/07/2024,11:30:34,AM
50682,0.3914748,01/07/2024,11:30:34,AM
50693,0.3914748,01/07/2024,11:30:35,AM
50704,0.3914748,01/07/2024,11:30:35,AM
50715,0.3914748,01/07/2024,11:30:35,AM
50730,0.3914748,01/07/2024,11:30:35,AM
50740,0.3914748,01/07/2024,11:30:35,AM
50751,0.3914748,01/07/2024,11:30:35,AM
50762,0.3914748,01/07/2024,11:30:35,AM
50773,0.3914748,01/07/2024,11:30:35,AM
50784,0.3914748,01/07/2024,11:30:35,AM
50795,0.3914748,01/07/2024,11:30:35,AM
50810,0.3914748,01/07/2024,11:30:35,AM
50820,0.3914748,01/07/2024,11:30:35,AM
50831,0.3914748,01/07/2024,11:30:35,AM
50842,0.3914748,01/07/2024,11:30:35,AM
50853,0.3914748,01/07/2024,11:30:35,AM
50864,0.3914748,01/07/2024,11:30:35,AM
50875,0.3914748,01/07/2024,11:30:35,AM
50890,0.3914748,01/07/2024,11:30:35,AM
50900,0.3914748,01/07/2024,11:30:35,AM
50911,0.3914748,01/07/2024,11:30:35,AM
50922,0.3914748,01/07/2024,11:30:35,AM
50933,0.3914748,01/07/2024,11:30:35,AM
50944,0.3914748,01/07/2024,11:30:35,AM
50955,0.3914748,01/07/2024,11:30:35,AM
50970,0.3914748,01/07/2024,11:30:35,AM
50980,0.3914748,01/07/2024,11:30:35,AM
50991,0.3914748,01/07/2024,11:30:35,AM
51002,0.3914748,01/07/2024,11:30:35,AM
51013,0.3914748,01/07/2024,11:30:35,AM
51024,0.3914748,01/07/2024,11:30:35,AM
51035,0.3914748,01/07/2024,11:30:35,AM
51050,0.3914748,01/07/2024,11:30:35,AM
51061,0.3914748,01/07/2024,11:30:35,AM
51071,0.3914748,01/07/2024,11:30:35,AM
51082,0.3914748,01/07/2024,11:30:35,AM
51093,0.3914748,01/07/2024,11:30:35,AM
51104,0.3914748,01/07/2024,11:30:35,AM
51115,0.3914748,01/07/2024,11:30:35,AM
51130,0.3914748,01/07/2024,11:30:35,AM
51140,0.3914748,01/07/2024,11:30:35,AM
51151,0.3914748,01/07/2024,11:30:35,AM
51162,0.3914748,01/07/2024,11:30:35,AM
51173,0.3914748,01/07/2024,11:30:35,AM
51184,0.3914748,01/07/2024,11:30:35,AM
51242,0.3902524,01/07/2024,11:30:35,AM
51253,0.3902524,01/07/2024,11:30:35,AM
51264,0.3902524,01/07/2024,11:30:35,AM
51275,0.3902524,01/07/2024,11:30:35,AM
51290,0.3902524,01/07/2024,11:30:35,AM
51300,0.3902524,01/07/2024,11:30:35,AM
51311,0.3902524,01/07/2024,11:30:35,AM
51322,0.3902524,01/07/2024,11:30:35,AM
51333,0.3902524,01/07/2024,11:30:35,AM
51344,0.3902524,01/07/2024,11:30:35,AM
51355,0.3902524,01/07/2024,11:30:35,AM
51370,0.3902524,01/07/2024,11:30:35,AM
51380,0.3902524,01/07/2024,11:30:35,AM
51391,0.3902524,01/07/2024,11:30:35,AM
51402,0.3902524,01/07/2024,11:30:35,AM
51413,0.3902524,01/07/2024,11:30:35,AM
51424,0.3902524,01/07/2024,11:30:35,AM
51435,0.3902524,01/07/2024,11:30:35,AM
51450,0.3902524,01/07/2024,11:30:35,AM
51460,0.3902524,01/07/2024,11:30:35,AM
51471,0.3902524,01/07/2024,11:30:35,AM
51482,0.3902524,01/07/2024,11:30:35,AM
51493,0.3902524,01/07/2024,11:30:35,AM
51504,0.3902524,01/07/2024,11:30:35,AM
51515,0.3902524,01/07/2024,11:30:35,AM
51530,0.3902524,01/07/2024,11:30:35,AM
51540,0.3902524,01/07/2024,11:30:35,AM
51551,0.3902524,01/07/2024,11:30:35,AM
51562,0.3902524,01/07/2024,11:30:35,AM
51573,0.3902524,01/07/2024,11:30:35,AM
51584,0.3902524,01/07/2024,11:30:35,AM
51595,0.3902524,01/07/2024,11:30:35,AM
51610,0.3902524,01/07/2024,11:30:35,AM
51620,0.3902524,01/07/2024,11:30:35,AM
51631,0.3902524,01/07/2024,11:30:35,AM
51642,0.3902524,01/07/2024,11:30:35,AM
51653,0.3902524,01/07/2024,11:30:35,AM
51664,0.3902524,01/07/2024,11:30:35,AM
51676,0.3902524,01/07/2024,11:30:35,AM
51690,0.3902524,01/07/2024,11:30:36,AM
51700,0.3902524,01/07/2024,11:30:36,AM
51711,0.3902524,01/07/2024,11:30:36,AM
51722,0.3902524,01/07/2024,11:30:36,AM
51733,0.3902524,01/07/2024,11:30:36,AM
51744,0.3902524,01/07/2024,11:30:36,AM
51755,0.3902524,01/07/2024,11:30:36,AM
51770,0.3902524,01/07/2024,11:30:36,AM
51780,0.3902524,01/07/2024,11:30:36,AM
51791,0.3902524,01/07/2024,11:30:36,AM
51802,0.3902524,01/07/2024,11:30:36,AM
51813,0.3902524,01/07/2024,11:30:36,AM
51824,0.3902524,01/07/2024,11:30:36,AM
51835,0.3902524,01/07/2024,11:30:36,AM
51850,0.3902524,01/07/2024,11:30:36,AM
51860,0.3902524,01/07/2024,11:30:36,AM
51871,0.3902524,01/07/2024,11:30:36,AM
51882,0.3902524,01/07/2024,11:30:36,AM
51893,0.3902524,01/07/2024,11:30:36,AM
51904,0.3902524,01/07/2024,11:30:36,AM
51916,0.3902524,01/07/2024,11:30:36,AM
51930,0.3902524,01/07/2024,11:30:36,AM
51940,0.3902524,01/07/2024,11:30:36,AM
51951,0.3902524,01/07/2024,11:30:36,AM
51962,0.3902524,01/07/2024,11:30:36,AM
51973,0.3902524,01/07/2024,11:30:36,AM
51984,0.3902524,01/07/2024,11:30:36,AM
51995,0.3902524,01/07/2024,11:30:36,AM
52010,0.3902524,01/07/2024,11:30:36,AM
52020,0.3902524,01/07/2024,11:30:36,AM
52031,0.3902524,01/07/2024,11:30:36,AM
52042,0.3902524,01/07/2024,11:30:36,AM
52053,0.3902524,01/07/2024,11:30:36,AM
52064,0.3902524,01/07/2024,11:30:36,AM
52075,0.3902524,01/07/2024,11:30:36,AM
52090,0.3902524,01/07/2024,11:30:36,AM
52100,0.3902524,01/07/2024,11:30:36,AM
52111,0.3902524,01/07/2024,11:30:36,AM
52122,0.3902524,01/07/2024,11:30:36,AM
52133,0.3902524,01/07/2024,11:30:36,AM
52144,0.3902524,01/07/2024,11:30:36,AM
52155,0.3902524,01/07/2024,11:30:36,AM
52170,0.3902524,01/07/2024,11:30:36,AM
52180,0.3902524,01/07/2024,11:30:36,AM
52191,0.3902524,01/07/2024,11:30:36,AM
52202,0.3902524,01/07/2024,11:30:36,AM
52213,0.3902524,01/07/2024,11:30:36,AM
52224,0.3902524,01/07/2024,11:30:36,AM
52235,0.3871417,01/07/2024,11:30:36,AM
52292,0.3871417,01/07/2024,11:30:36,AM
52303,0.3871417,01/07/2024,11:30:36,AM
52314,0.3871417,01/07/2024,11:30:36,AM
52325,0.3871417,01/07/2024,11:30:36,AM
52336,0.3871417,01/07/2024,11:30:36,AM
52350,0.3871417,01/07/2024,11:30:36,AM
52361,0.3871417,01/07/2024,11:30:36,AM
52372,0.3871417,01/07/2024,11:30:36,AM
52383,0.3871417,01/07/2024,11:30:36,AM
52394,0.3871417,01/07/2024,11:30:36,AM
52405,0.3871417,01/07/2024,11:30:36,AM
52416,0.3871417,01/07/2024,11:30:36,AM
52430,0.3871417,01/07/2024,11:30:36,AM
52441,0.3871417,01/07/2024,11:30:36,AM
52452,0.3871417,01/07/2024,11:30:36,AM
52463,0.3871417,01/07/2024,11:30:36,AM
52474,0.3871417,01/07/2024,11:30:36,AM
52485,0.3871417,01/07/2024,11:30:36,AM
52496,0.3871417,01/07/2024,11:30:36,AM
52510,0.3871417,01/07/2024,11:30:36,AM
52521,0.3871417,01/07/2024,11:30:36,AM
52532,0.3871417,01/07/2024,11:30:36,AM
52543,0.3871417,01/07/2024,11:30:36,AM
52554,0.3871417,01/07/2024,11:30:36,AM
52565,0.3871417,01/07/2024,11:30:36,AM
52576,0.3871417,01/07/2024,11:30:36,AM
52590,0.3871417,01/07/2024,11:30:36,AM
52601,0.3871417,01/07/2024,11:30:36,AM
52612,0.3871417,01/07/2024,11:30:36,AM
52623,0.3871417,01/07/2024,11:30:36,AM
52634,0.3871417,01/07/2024,11:30:36,AM
52645,0.3871417,01/07/2024,11:30:36,AM
52659,0.3871417,01/07/2024,11:30:36,AM
52670,0.3871417,01/07/2024,11:30:36,AM
52681,0.3871417,01/07/2024,11:30:36,AM
52692,0.3871417,01/07/2024,11:30:37,AM
52703,0.3871417,01/07/2024,11:30:37,AM
52714,0.3871417,01/07/2024,11:30:37,AM
52725,0.3871417,01/07/2024,11:30:37,AM
52736,0.3871417,01/07/2024,11:30:37,AM
52750,0.3871417,01/07/2024,11:30:37,AM
52761,0.3871417,01/07/2024,11:30:37,AM
52772,0.3871417,01/07/2024,11:30:37,AM
52783,0.3871417,01/07/2024,11:30:37,AM
52794,0.3871417,01/07/2024,11:30:37,AM
52805,0.3871417,01/07/2024,11:30:37,AM
52820,0.3871417,01/07/2024,11:30:37,AM
52831,0.3871417,01/07/2024,11:30:37,AM
52842,0.3871417,01/07/2024,11:30:37,AM
52853,0.3871417,01/07/2024,11:30:37,AM
52864,0.3871417,01/07/2024,11:30:37,AM
52875,0.3871417,01/07/2024,11:30:37,AM
52890,0.3871417,01/07/2024,11:30:37,AM
52900,0.3871417,01/07/2024,11:30:37,AM
52911,0.3871417,01/07/2024,11:30:37,AM
52922,0.3871417,01/07/2024,11:30:37,AM
52933,0.3871417,01/07/2024,11:30:37,AM
52944,0.3871417,01/07/2024,11:30:37,AM
52955,0.3871417,01/07/2024,11:30:37,AM
52970,0.3871417,01/07/2024,11:30:37,AM
52980,0.3871417,01/07/2024,11:30:37,AM
52991,0.3871417,01/07/2024,11:30:37,AM
53002,0.3871417,01/07/2024,11:30:37,AM
53013,0.3871417,01/07/2024,11:30:37,AM
53024,0.3871417,01/07/2024,11:30:37,AM
53035,0.3871417,01/07/2024,11:30:37,AM
53050,0.3871417,01/07/2024,11:30:37,AM
53060,0.3871417,01/07/2024,11:30:37,AM
53071,0.3871417,01/07/2024,11:30:37,AM
53082,0.3871417,01/07/2024,11:30:37,AM
53093,0.3871417,01/07/2024,11:30:37,AM
53104,0.3871417,01/07/2024,11:30:37,AM
53115,0.3871417,01/07/2024,11:30:37,AM
53130,0.3871417,01/07/2024,11:30:37,AM
53140,0.3871417,01/07/2024,11:30:37,AM
53151,0.3871417,01/07/2024,11:30:37,AM
53162,0.3871417,01/07/2024,11:30:37,AM
53173,0.3871417,01/07/2024,11:30:37,AM
53184,0.3871417,01/07/2024,11:30:37,AM
53195,0.3871417,01/07/2024,11:30:37,AM
53210,0.3871417,01/07/2024,11:30:37,AM
53220,0.3871417,01/07/2024,11:30:37,AM
53233,0.3824247,01/07/2024,11:30:37,AM
53244,0.3824247,01/07/2024,11:30:37,AM
53255,0.3824247,01/07/2024,11:30:37,AM
53270,0.3824247,01/07/2024,11:30:37,AM
53280,0.3824247,01/07/2024,11:30:37,AM
53291,0.3824247,01/07/2024,11:30:37,AM
53340,0.3824247,01/07/2024,11:30:37,AM
53350,0.3824247,01/07/2024,11:30:37,AM
53361,0.3824247,01/07/2024,11:30:37,AM
53372,0.3824247,01/07/2024,11:30:37,AM
53383,0.3824247,01/07/2024,11:30:37,AM
53396,0.3824247,01/07/2024,11:30:37,AM
53405,0.3824247,01/07/2024,11:30:37,AM
53416,0.3824247,01/07/2024,11:30:37,AM
53430,0.3824247,01/07/2024,11:30:37,AM
53441,0.3824247,01/07/2024,11:30:37,AM
53452,0.3824247,01/07/2024,11:30:37,AM
53463,0.3824247,01/07/2024,11:30:37,AM
53474,0.3824247,01/07/2024,11:30:37,AM
53485,0.3824247,01/07/2024,11:30:37,AM
53496,0.3824247,01/07/2024,11:30:37,AM
53510,0.3824247,01/07/2024,11:30:37,AM
53521,0.3824247,01/07/2024,11:30:37,AM
53532,0.3824247,01/07/2024,11:30:37,AM
53543,0.3824247,01/07/2024,11:30:37,AM
53554,0.3824247,01/07/2024,11:30:37,AM
53565,0.3824247,01/07/2024,11:30:37,AM
53576,0.3824247,01/07/2024,11:30:37,AM
53590,0.3824247,01/07/2024,11:30:37,AM
53601,0.3824247,01/07/2024,11:30:37,AM
53613,0.3824247,01/07/2024,11:30:37,AM
53623,0.3824247,01/07/2024,11:30:37,AM
53634,0.3824247,01/07/2024,11:30:37,AM
53645,0.3824247,01/07/2024,11:30:37,AM
53656,0.3824247,01/07/2024,11:30:37,AM
53670,0.3824247,01/07/2024,11:30:37,AM
53681,0.3824247,01/07/2024,11:30:37,AM
53692,0.3824247,01/07/2024,11:30:38,AM
53703,0.3824247,01/07/2024,11:30:38,AM
53714,0.3824247,01/07/2024,11:30:38,AM
53726,0.3824247,01/07/2024,11:30:38,AM
53740,0.3824247,01/07/2024,11:30:38,AM
53751,0.3824247,01/07/2024,11:30:38,AM
53762,0.3824247,01/07/2024,11:30:38,AM
53773,0.3824247,01/07/2024,11:30:38,AM
53784,0.3824247,01/07/2024,11:30:38,AM
53795,0.3824247,01/07/2024,11:30:38,AM
53810,0.3824247,01/07/2024,11:30:38,AM
53820,0.3824247,01/07/2024,11:30:38,AM
53831,0.3824247,01/07/2024,11:30:38,AM
53842,0.3824247,01/07/2024,11:30:38,AM
53853,0.3824247,01/07/2024,11:30:38,AM
53864,0.3824247,01/07/2024,11:30:38,AM
53875,0.3824247,01/07/2024,11:30:38,AM
53890,0.3824247,01/07/2024,11:30:38,AM
53900,0.3824247,01/07/2024,11:30:38,AM
53911,0.3824247,01/07/2024,11:30:38,AM
53922,0.3824247,01/07/2024,11:30:38,AM
53933,0.3824247,01/07/2024,11:30:38,AM
53944,0.3824247,01/07/2024,11:30:38,AM
53955,0.3824247,01/07/2024,11:30:38,AM
53970,0.3824247,01/07/2024,11:30:38,AM
53980,0.3824247,01/07/2024,11:30:38,AM
53991,0.3824247,01/07/2024,11:30:38,AM
54002,0.3824247,01/07/2024,11:30:38,AM
54013,0.3824247,01/07/2024,11:30:38,AM
54024,0.3824247,01/07/2024,11:30:38,AM
54035,0.3824247,01/07/2024,11:30:38,AM
54050,0.3824247,01/07/2024,11:30:38,AM
54060,0.3824247,01/07/2024,11:30:38,AM
54071,0.3824247,01/07/2024,11:30:38,AM
54082,0.3824247,01/07/2024,11:30:38,AM
54093,0.3824247,01/07/2024,11:30:38,AM
54104,0.3824247,01/07/2024,11:30:38,AM
54115,0.3824247,01/07/2024,11:30:38,AM
54130,0.3824247,01/07/2024,11:30:38,AM
54140,0.3824247,01/07/2024,11:30:38,AM
54151,0.3824247,01/07/2024,11:30:38,AM
54162,0.3824247,01/07/2024,11:30:38,AM
54173,0.3824247,01/07/2024,11:30:38,AM
54184,0.3824247,01/07/2024,11:30:38,AM
54195,0.3824247,01/07/2024,11:30:38,AM
54210,0.3824247,01/07/2024,11:30:38,AM
54220,0.3824247,01/07/2024,11:30:38,AM
54233,0.3842651,01/07/2024,11:30:38,AM
54244,0.3842651,01/07/2024,11:30:38,AM
54255,0.3842651,01/07/2024,11:30:38,AM
54270,0.3842651,01/07/2024,11:30:38,AM
54280,0.3842651,01/07/2024,11:30:38,AM
54291,0.3842651,01/07/2024,11:30:38,AM
54302,0.3842651,01/07/2024,11:30:38,AM
54313,0.3842651,01/07/2024,11:30:38,AM
54324,0.3842651,01/07/2024,11:30:38,AM
54335,0.3842651,01/07/2024,11:30:38,AM
54389,0.3842651,01/07/2024,11:30:38,AM
54400,0.3842651,01/07/2024,11:30:38,AM
54411,0.3842651,01/07/2024,11:30:38,AM
54422,0.3842651,01/07/2024,11:30:38,AM
54433,0.3842651,01/07/2024,11:30:38,AM
54444,0.3842651,01/07/2024,11:30:38,AM
54455,0.3842651,01/07/2024,11:30:38,AM
54470,0.3842651,01/07/2024,11:30:38,AM
54480,0.3842651,01/07/2024,11:30:38,AM
54491,0.3842651,01/07/2024,11:30:38,AM
54502,0.3842651,01/07/2024,11:30:38,AM
54513,0.3842651,01/07/2024,11:30:38,AM
54524,0.3842651,01/07/2024,11:30:38,AM
54535,0.3842651,01/07/2024,11:30:38,AM
54550,0.3842651,01/07/2024,11:30:38,AM
54560,0.3842651,01/07/2024,11:30:38,AM
54571,0.3842651,01/07/2024,11:30:38,AM
54582,0.3842651,01/07/2024,11:30:38,AM
54593,0.3842651,01/07/2024,11:30:38,AM
54604,0.3842651,01/07/2024,11:30:38,AM
54615,0.3842651,01/07/2024,11:30:38,AM
54630,0.3842651,01/07/2024,11:30:38,AM
54640,0.3842651,01/07/2024,11:30:38,AM
54651,0.3842651,01/07/2024,11:30:38,AM
54662,0.3842651,01/07/2024,11:30:38,AM
54673,0.3842651,01/07/2024,11:30:38,AM
54684,0.3842651,01/07/2024,11:30:38,AM
54695,0.3842651,01/07/2024,11:30:39,AM
54710,0.3842651,01/07/2024,11:30:39,AM
54720,0.3842651,01/07/2024,11:30:39,AM
54731,0.3842651,01/07/2024,11:30:39,AM
54742,0.3842651,01/07/2024,11:30:39,AM
54754,0.3842651,01/07/2024,11:30:39,AM
54764,0.3842651,01/07/2024,11:30:39,AM
54775,0.3842651,01/07/2024,11:30:39,AM
54790,0.3842651,01/07/2024,11:30:39,AM
54800,0.3842651,01/07/2024,11:30:39,AM
54811,0.3842651,01/07/2024,11:30:39,AM
54823,0.3842651,01/07/2024,11:30:39,AM
54833,0.3842651,01/07/2024,11:30:39,AM
54844,0.3842651,01/07/2024,11:30:39,AM
54855,0.3842651,01/07/2024,11:30:39,AM
54870,0.3842651,01/07/2024,11:30:39,AM
54880,0.3842651,01/07/2024,11:30:39,AM
54891,0.3842651,01/07/2024,11:30:39,AM
54902,0.3842651,01/07/2024,11:30:39,AM
54913,0.3842651,01/07/2024,11:30:39,AM
54924,0.3842651,01/07/2024,11:30:39,AM
54935,0.3842651,01/07/2024,11:30:39,AM
54950,0.3842651,01/07/2024,11:30:39,AM
54960,0.3842651,01/07/2024,11:30:39,AM
54971,0.3842651,01/07/2024,11:30:39,AM
54982,0.3842651,01/07/2024,11:30:39,AM
54993,0.3842651,01/07/2024,11:30:39,AM
55004,0.3842651,01/07/2024,11:30:39,AM
55015,0.3842651,01/07/2024,11:30:39,AM
55030,0.3842651,01/07/2024,11:30:39,AM
55040,0.3842651,01/07/2024,11:30:39,AM
55051,0.3842651,01/07/2024,11:30:39,AM
55063,0.3842651,01/07/2024,11:30:39,AM
55073,0.3842651,01/07/2024,11:30:39,AM
55084,0.3842651,01/07/2024,11:30:39,AM
55095,0.3842651,01/07/2024,11:30:39,AM
55110,0.3842651,01/07/2024,11:30:39,AM
55120,0.3842651,01/07/2024,11:30:39,AM
55131,0.3842651,01/07/2024,11:30:39,AM
55142,0.3842651,01/07/2024,11:30:39,AM
55153,0.3842651,01/07/2024,11:30:39,AM
55164,0.3842651,01/07/2024,11:30:39,AM
55175,0.3842651,01/07/2024,11:30:39,AM
55190,0.3842651,01/07/2024,11:30:39,AM
55200,0.3842651,01/07/2024,11:30:39,AM
55211,0.3842651,01/07/2024,11:30:39,AM
55222,0.3842651,01/07/2024,11:30:39,AM
55234,0.3864546,01/07/2024,11:30:39,AM
55244,0.3864546,01/07/2024,11:30:39,AM
55255,0.3864546,01/07/2024,11:30:39,AM
55270,0.3864546,01/07/2024,11:30:39,AM
55280,0.3864546,01/07/2024,11:30:39,AM
55291,0.3864546,01/07/2024,11:30:39,AM
55302,0.3864546,01/07/2024,11:30:39,AM
55313,0.3864546,01/07/2024,11:30:39,AM
55324,0.3864546,01/07/2024,11:30:39,AM
55335,0.3864546,01/07/2024,11:30:39,AM
55350,0.3864546,01/07/2024,11:30:39,AM
55360,0.3864546,01/07/2024,11:30:39,AM
55371,0.3864546,01/07/2024,11:30:39,AM
55382,0.3864546,01/07/2024,11:30:39,AM
55437,0.3864546,01/07/2024,11:30:39,AM
55450,0.3864546,01/07/2024,11:30:39,AM
55462,0.3864546,01/07/2024,11:30:39,AM
55472,0.3864546,01/07/2024,11:30:39,AM
55483,0.3864546,01/07/2024,11:30:39,AM
55494,0.3864546,01/07/2024,11:30:39,AM
55505,0.3864546,01/07/2024,11:30:39,AM
55516,0.3864546,01/07/2024,11:30:39,AM
55530,0.3864546,01/07/2024,11:30:39,AM
55541,0.3864546,01/07/2024,11:30:39,AM
55552,0.3864546,01/07/2024,11:30:39,AM
55563,0.3864546,01/07/2024,11:30:39,AM
55574,0.3864546,01/07/2024,11:30:39,AM
55585,0.3864546,01/07/2024,11:30:39,AM
55596,0.3864546,01/07/2024,11:30:39,AM
55610,0.3864546,01/07/2024,11:30:39,AM
55621,0.3864546,01/07/2024,11:30:39,AM
55632,0.3864546,01/07/2024,11:30:39,AM
55643,0.3864546,01/07/2024,11:30:39,AM
55654,0.3864546,01/07/2024,11:30:39,AM
55665,0.3864546,01/07/2024,11:30:39,AM
55676,0.3864546,01/07/2024,11:30:39,AM
55690,0.3864546,01/07/2024,11:30:40,AM
55701,0.3864546,01/07/2024,11:30:40,AM
55712,0.3864546,01/07/2024,11:30:40,AM
55723,0.3864546,01/07/2024,11:30:40,AM
55734,0.3864546,01/07/2024,11:30:40,AM
55745,0.3864546,01/07/2024,11:30:40,AM
55756,0.3864546,01/07/2024,11:30:40,AM
55770,0.3864546,01/07/2024,11:30:40,AM
55781,0.3864546,01/07/2024,11:30:40,AM
55792,0.3864546,01/07/2024,11:30:40,AM
55803,0.3864546,01/07/2024,11:30:40,AM
55814,0.3864546,01/07/2024,11:30:40,AM
55825,0.3864546,01/07/2024,11:30:40,AM
55836,0.3864546,01/07/2024,11:30:40,AM
55850,0.3864546,01/07/2024,11:30:40,AM
55861,0.3864546,01/07/2024,11:30:40,AM
55872,0.3864546,01/07/2024,11:30:40,AM
55883,0.3864546,01/07/2024,11:30:40,AM
55894,0.3864546,01/07/2024,11:30:40,AM
55905,0.3864546,01/07/2024,11:30:40,AM
55916,0.3864546,01/07/2024,11:30:40,AM
55930,0.3864546,01/07/2024,11:30:40,AM
