timp(ms),P(KW),,,
3230,0.2277923,01/07/2024,11:29:47,AM
3241,0.2260492,01/07/2024,11:29:47,AM
3256,0.2260492,01/07/2024,11:29:47,AM
3266,0.2260492,01/07/2024,11:29:47,AM
3277,0.2260492,01/07/2024,11:29:47,AM
3290,0.2260492,01/07/2024,11:29:47,AM
3300,0.2260492,01/07/2024,11:29:47,AM
3311,0.2260492,01/07/2024,11:29:47,AM
3325,0.2260492,01/07/2024,11:29:47,AM
3336,0.2260492,01/07/2024,11:29:47,AM
3348,0.2260492,01/07/2024,11:29:47,AM
3358,0.2260492,01/07/2024,11:29:47,AM
3369,0.2260492,01/07/2024,11:29:47,AM
3385,0.2260492,01/07/2024,11:29:47,AM
3395,0.2260492,01/07/2024,11:29:47,AM
3406,0.2260492,01/07/2024,11:29:47,AM
3416,0.2260492,01/07/2024,11:29:47,AM
3428,0.2260492,01/07/2024,11:29:47,AM
3438,0.2260492,01/07/2024,11:29:47,AM
3449,0.2260492,01/07/2024,11:29:47,AM
3460,0.2260492,01/07/2024,11:29:47,AM
3475,0.2260492,01/07/2024,11:29:47,AM
3485,0.2260492,01/07/2024,11:29:47,AM
3496,0.2260492,01/07/2024,11:29:47,AM
3508,0.2260492,01/07/2024,11:29:47,AM
3518,0.2260492,01/07/2024,11:29:47,AM
3530,0.2260492,01/07/2024,11:29:47,AM
3541,0.2260492,01/07/2024,11:29:47,AM
3555,0.2260492,01/07/2024,11:29:47,AM
3566,0.2260492,01/07/2024,11:29:47,AM
3576,0.2260492,01/07/2024,11:29:47,AM
3587,0.2260492,01/07/2024,11:29:47,AM
3598,0.2260492,01/07/2024,11:29:47,AM
3609,0.2260492,01/07/2024,11:29:47,AM
3620,0.2260492,01/07/2024,11:29:47,AM
3635,0.2260492,01/07/2024,11:29:47,AM
3646,0.2260492,01/07/2024,11:29:47,AM
3656,0.2260492,01/07/2024,11:29:47,AM
3667,0.2260492,01/07/2024,11:29:47,AM
3679,0.2260492,01/07/2024,11:29:47,AM
3689,0.2260492,01/07/2024,11:29:48,AM
3700,0.2260492,01/07/2024,11:29:48,AM
3715,0.2260492,01/07/2024,11:29:48,AM
3725,0.2260492,01/07/2024,11:29:48,AM
3736,0.2260492,01/07/2024,11:29:48,AM
3748,0.2260492,01/07/2024,11:29:48,AM
3758,0.2260492,01/07/2024,11:29:48,AM
3770,0.2260492,01/07/2024,11:29:48,AM
3781,0.2260492,01/07/2024,11:29:48,AM
3795,0.2260492,01/07/2024,11:29:48,AM
3806,0.2260492,01/07/2024,11:29:48,AM
3816,0.2260492,01/07/2024,11:29:48,AM
3828,0.2260492,01/07/2024,11:29:48,AM
3838,0.2260492,01/07/2024,11:29:48,AM
3849,0.2260492,01/07/2024,11:29:48,AM
3860,0.2260492,01/07/2024,11:29:48,AM
3875,0.2260492,01/07/2024,11:29:48,AM
